# min_ratio=None pval=None
id	enrichment	description	ratio_in_study	ratio_in_pop	p_uncorrected	p_bonferroni	p_holm	p_sidak	p_fdr
GO:0016744	e	transferase activity, transferring aldehyde or ketonic groups	3/1159	6/4258	0.354	1.75e+03	788	1.71e+03	n.a.
GO:0016746	e	transferase activity, transferring acyl groups	46/1159	106/4258	0.000347	1.71	1.6	1.67	n.a.
GO:0016747	e	transferase activity, transferring acyl groups other than amino-acyl groups	36/1159	85/4258	0.00284	14.1	12.6	13.7	n.a.
GO:0016748	e	succinyltransferase activity	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0016749	e	N-succinyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0016751	e	S-succinyltransferase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0016755	p	transferase activity, transferring amino-acyl groups	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0016757	p	transferase activity, transferring glycosyl groups	8/1159	92/4258	1.41e-05	0.0696	0.0666	0.0679	n.a.
GO:0016758	p	transferase activity, transferring hexosyl groups	4/1159	72/4258	3.38e-06	0.0167	0.0162	0.0163	n.a.
GO:0016763	p	transferase activity, transferring pentosyl groups	4/1159	16/4258	1	4.94e+03	791	4.82e+03	n.a.
GO:0016765	e	transferase activity, transferring alkyl or aryl (other than methyl) groups	10/1159	35/4258	0.85	4.2e+03	750	4.09e+03	n.a.
GO:0016769	e	transferase activity, transferring nitrogenous groups	11/1159	19/4258	0.007	34.6	30.1	33.7	n.a.
GO:0016772	p	transferase activity, transferring phosphorus-containing groups	63/1159	297/4258	0.015	74.1	63.1	72.2	n.a.
GO:0016773	p	phosphotransferase activity, alcohol group as acceptor	25/1159	164/4258	0.000313	1.55	1.45	1.51	n.a.
GO:0016774	e	phosphotransferase activity, carboxyl group as acceptor	4/1159	5/4258	0.0214	106	87.8	103	n.a.
GO:0016776	e	phosphotransferase activity, phosphate group as acceptor	6/1159	14/4258	0.227	1.12e+03	708	1.09e+03	n.a.
GO:0016778	e	diphosphotransferase activity	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0016779	p	nucleotidyltransferase activity	22/1159	92/4258	0.554	2.74e+03	789	2.67e+03	n.a.
GO:0016780	p	phosphotransferase activity, for other substituted phosphate groups	2/1159	11/4258	0.738	3.65e+03	761	3.55e+03	n.a.
GO:0016782	e	transferase activity, transferring sulfur-containing groups	5/1159	12/4258	0.327	1.62e+03	737	1.58e+03	n.a.
GO:0016783	e	sulfurtransferase activity	5/1159	11/4258	0.183	906	591	883	n.a.
GO:0016787	e	hydrolase activity	226/1159	792/4258	0.353	1.75e+03	786	1.7e+03	n.a.
GO:0016788	p	hydrolase activity, acting on ester bonds	51/1159	237/4258	0.0427	211	169	206	n.a.
GO:0016790	e	thiolester hydrolase activity	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0016791	p	phosphatase activity	12/1159	85/4258	0.00456	22.5	20.1	22	n.a.
GO:0016796	e	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	11/1159	26/4258	0.118	585	417	570	n.a.
GO:0016798	p	hydrolase activity, acting on glycosyl bonds	6/1159	42/4258	0.0794	392	288	382	n.a.
GO:0016799	e	hydrolase activity, hydrolyzing N-glycosyl compounds	3/1159	7/4258	0.399	1.97e+03	842	1.92e+03	n.a.
GO:0016801	e	hydrolase activity, acting on ether bonds	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0016802	e	trialkylsulfonium hydrolase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0016805	e	dipeptidase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0016810	e	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	18/1159	47/4258	0.0988	488	352	476	n.a.
GO:0016811	e	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	8/1159	26/4258	0.662	3.27e+03	824	3.19e+03	n.a.
GO:0016812	e	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0016814	e	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	8/1159	16/4258	0.0498	246	197	240	n.a.
GO:0016817	e	hydrolase activity, acting on acid anhydrides	130/1159	358/4258	8.8e-05	0.435	0.411	0.424	n.a.
GO:0016818	e	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	130/1159	358/4258	8.8e-05	0.435	0.411	0.424	n.a.
GO:0016820	e	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	23/1159	56/4258	0.0232	115	94.4	112	n.a.
GO:0016829	e	lyase activity	32/1159	85/4258	0.0358	177	143	172	n.a.
GO:0016830	p	carbon-carbon lyase activity	8/1159	33/4258	0.845	4.18e+03	750	4.07e+03	n.a.
GO:0016831	p	carboxy-lyase activity	5/1159	22/4258	0.811	4.01e+03	742	3.91e+03	n.a.
GO:0016832	e	aldehyde-lyase activity	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0016833	p	oxo-acid-lyase activity	2/1159	8/4258	1	4.94e+03	658	4.82e+03	n.a.
GO:0016835	e	carbon-oxygen lyase activity	19/1159	33/4258	0.000248	1.23	1.15	1.2	n.a.
GO:0016836	e	hydro-lyase activity	13/1159	23/4258	0.00346	17.1	15.3	16.7	n.a.
GO:0016838	e	carbon-oxygen lyase activity, acting on phosphates	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0016840	e	carbon-nitrogen lyase activity	3/1159	7/4258	0.399	1.97e+03	842	1.92e+03	n.a.
GO:0016841	e	ammonia-lyase activity	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0016842	e	amidine-lyase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0016846	p	carbon-sulfur lyase activity	1/1159	7/4258	0.682	3.37e+03	807	3.29e+03	n.a.
GO:0016853	e	isomerase activity	22/1159	67/4258	0.332	1.64e+03	742	1.6e+03	n.a.
GO:0016854	p	racemase and epimerase activity	1/1159	5/4258	1	4.94e+03	409	4.82e+03	n.a.
GO:0016857	e	racemase and epimerase activity, acting on carbohydrates and derivatives	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0016859	e	cis-trans isomerase activity	5/1159	16/4258	0.779	3.85e+03	741	3.75e+03	n.a.
GO:0016860	e	intramolecular oxidoreductase activity	6/1159	18/4258	0.597	2.95e+03	820	2.88e+03	n.a.
GO:0016861	e	intramolecular oxidoreductase activity, interconverting aldoses and ketoses	5/1159	7/4258	0.0187	92.5	78.2	90.2	n.a.
GO:0016864	p	intramolecular oxidoreductase activity, transposing S-S bonds	1/1159	7/4258	0.682	3.37e+03	807	3.29e+03	n.a.
GO:0016866	e	intramolecular transferase activity	7/1159	19/4258	0.437	2.16e+03	892	2.11e+03	n.a.
GO:0016867	e	intramolecular transferase activity, transferring acyl groups	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0016868	e	intramolecular transferase activity, phosphotransferases	3/1159	8/4258	0.456	2.25e+03	920	2.2e+03	n.a.
GO:0016872	e	intramolecular lyase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0016874	e	ligase activity	57/1159	132/4258	6.11e-05	0.302	0.286	0.294	n.a.
GO:0016875	e	ligase activity, forming carbon-oxygen bonds	24/1159	38/4258	3.49e-06	0.0173	0.0167	0.0168	n.a.
GO:0016876	e	ligase activity, forming aminoacyl-tRNA and related compounds	24/1159	38/4258	3.49e-06	0.0173	0.0167	0.0168	n.a.
GO:0016877	e	ligase activity, forming carbon-sulfur bonds	10/1159	18/4258	0.0134	66.3	56.7	64.7	n.a.
GO:0016878	e	acid-thiol ligase activity	5/1159	5/4258	0.00148	7.34	6.7	7.15	n.a.
GO:0016879	e	ligase activity, forming carbon-nitrogen bonds	17/1159	41/4258	0.051	252	200	246	n.a.
GO:0016880	e	acid-ammonia (or amide) ligase activity	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0016881	p	acid-amino acid ligase activity	2/1159	9/4258	1	4.94e+03	825	4.82e+03	n.a.
GO:0016882	e	cyclo-ligase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0016884	e	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	5/1159	14/4258	0.547	2.71e+03	790	2.64e+03	n.a.
GO:0016885	e	ligase activity, forming carbon-carbon bonds	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0016887	e	ATPase activity	98/1159	249/4258	1.87e-05	0.0925	0.0884	0.0901	n.a.
GO:0016888	e	endodeoxyribonuclease activity, producing 5'-phosphomonoesters	2/1159	5/4258	0.618	3.05e+03	837	2.98e+03	n.a.
GO:0016891	p	endoribonuclease activity, producing 5'-phosphomonoesters	9/1159	38/4258	0.717	3.54e+03	763	3.45e+03	n.a.
GO:0016893	p	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	11/1159	43/4258	1	4.94e+03	22	4.82e+03	n.a.
GO:0016895	e	exodeoxyribonuclease activity, producing 5'-phosphomonoesters	7/1159	13/4258	0.0538	266	211	259	n.a.
GO:0016896	e	exoribonuclease activity, producing 5'-phosphomonoesters	4/1159	13/4258	0.759	3.75e+03	752	3.66e+03	n.a.
GO:0016898	e	oxidoreductase activity, acting on the CH-OH group of donors, cytochrome as acceptor	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0016903	e	oxidoreductase activity, acting on the aldehyde or oxo group of donors	16/1159	25/4258	0.000125	0.619	0.583	0.603	n.a.
GO:0016925	e	protein sumoylation	4/1159	6/4258	0.0504	249	199	243	n.a.
GO:0016926	e	protein desumoylation	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0016929	e	SUMO-specific protease activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0016966	e	nitric oxide reductase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0016973	e	poly(A)+ mRNA export from nucleus	13/1159	25/4258	0.0109	53.7	46.2	52.3	n.a.
GO:0016998	e	cell wall macromolecule catabolic process	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0017004	p	cytochrome complex assembly	4/1159	29/4258	0.141	697	483	679	n.a.
GO:0017005	e	3'-tyrosyl-DNA phosphodiesterase activity	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0017016	p	Ras GTPase binding	5/1159	30/4258	0.222	1.1e+03	702	1.07e+03	n.a.
GO:0017022	p	myosin binding	1/1159	5/4258	1	4.94e+03	409	4.82e+03	n.a.
GO:0017025	e	TBP-class protein binding	3/1159	11/4258	1	4.94e+03	61	4.82e+03	n.a.
GO:0017038	e	protein import	29/1159	98/4258	0.568	2.81e+03	807	2.74e+03	n.a.
GO:0017053	e	transcriptional repressor complex	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0017056	p	structural constituent of nuclear pore	4/1159	24/4258	0.357	1.76e+03	774	1.72e+03	n.a.
GO:0017057	p	6-phosphogluconolactonase activity	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0017059	p	serine C-palmitoyltransferase complex	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0017062	e	respiratory chain complex III assembly	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0017069	p	snRNA binding	3/1159	12/4258	1	4.94e+03	839	4.82e+03	n.a.
GO:0017076	e	purine nucleotide binding	221/1159	647/4258	2.37e-05	0.117	0.112	0.114	n.a.
GO:0017087	e	mitochondrial processing peptidase complex	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0017102	e	methionyl glutamyl tRNA synthetase complex	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0017108	e	5'-flap endonuclease activity	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0017111	e	nucleoside-triphosphatase activity	121/1159	338/4258	0.000347	1.71	1.6	1.67	n.a.
GO:0017112	p	Rab guanyl-nucleotide exchange factor activity	1/1159	8/4258	0.691	3.42e+03	774	3.33e+03	n.a.
GO:0017116	p	single-stranded DNA-dependent ATP-dependent DNA helicase activity	1/1159	7/4258	0.682	3.37e+03	807	3.29e+03	n.a.
GO:0017119	p	Golgi transport complex	1/1159	8/4258	0.691	3.42e+03	774	3.33e+03	n.a.
GO:0017136	e	NAD-dependent histone deacetylase activity	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0017148	e	negative regulation of translation	6/1159	21/4258	0.811	4.01e+03	745	3.91e+03	n.a.
GO:0017150	p	tRNA dihydrouridine synthase activity	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0017157	p	regulation of exocytosis	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0017168	e	5-oxoprolinase (ATP-hydrolyzing) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0017169	p	CDP-alcohol phosphatidyltransferase activity	1/1159	5/4258	1	4.94e+03	409	4.82e+03	n.a.
GO:0017171	p	serine hydrolase activity	1/1159	13/4258	0.207	1.02e+03	658	998	n.a.
GO:0018022	p	peptidyl-lysine methylation	5/1159	26/4258	0.507	2.51e+03	758	2.44e+03	n.a.
GO:0018023	p	peptidyl-lysine trimethylation	1/1159	7/4258	0.682	3.37e+03	807	3.29e+03	n.a.
GO:0018024	p	histone-lysine N-methyltransferase activity	2/1159	9/4258	1	4.94e+03	825	4.82e+03	n.a.
GO:0018026	p	peptidyl-lysine monomethylation	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0018027	p	peptidyl-lysine dimethylation	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0018065	p	protein-cofactor linkage	1/1159	7/4258	0.682	3.37e+03	807	3.29e+03	n.a.
GO:0018105	p	peptidyl-serine phosphorylation	1/1159	8/4258	0.691	3.42e+03	774	3.33e+03	n.a.
GO:0018108	p	peptidyl-tyrosine phosphorylation	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0018130	e	heterocycle biosynthetic process	256/1159	644/4258	3.47e-10	1.72e-06	1.7e-06	1.67e-06	n.a.
GO:0018193	e	peptidyl-amino acid modification	47/1159	125/4258	0.0105	52	44.8	50.7	n.a.
GO:0018195	e	peptidyl-arginine modification	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0018205	e	peptidyl-lysine modification	38/1159	74/4258	9.04e-06	0.0447	0.0429	0.0436	n.a.
GO:0018208	e	peptidyl-proline modification	5/1159	18/4258	1	4.94e+03	295	4.82e+03	n.a.
GO:0018209	p	peptidyl-serine modification	1/1159	8/4258	0.691	3.42e+03	774	3.33e+03	n.a.
GO:0018212	p	peptidyl-tyrosine modification	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0018216	e	peptidyl-arginine methylation	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0018342	p	protein prenylation	1/1159	7/4258	0.682	3.37e+03	807	3.29e+03	n.a.
GO:0018343	e	protein farnesylation	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0018345	p	protein palmitoylation	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0018364	e	peptidyl-glutamine methylation	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0018393	e	internal peptidyl-lysine acetylation	26/1159	38/4258	1.26e-07	0.000621	0.000606	0.000605	n.a.
GO:0018394	e	peptidyl-lysine acetylation	26/1159	38/4258	1.26e-07	0.000621	0.000606	0.000605	n.a.
GO:0018444	e	translation release factor complex	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0018548	e	pentaerythritol trinitrate reductase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0018904	e	ether metabolic process	2/1159	3/4258	0.182	899	607	876	n.a.
GO:0019001	e	guanyl nucleotide binding	27/1159	90/4258	0.55	2.72e+03	787	2.65e+03	n.a.
GO:0019003	e	GDP binding	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019005	p	SCF ubiquitin ligase complex	2/1159	14/4258	0.376	1.86e+03	808	1.81e+03	n.a.
GO:0019076	p	viral release from host cell	3/1159	18/4258	0.43	2.12e+03	882	2.07e+03	n.a.
GO:0019104	e	DNA N-glycosylase activity	3/1159	4/4258	0.0641	317	249	309	n.a.
GO:0019135	e	deoxyhypusine monooxygenase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019166	e	trans-2-enoyl-CoA reductase (NADPH) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019170	e	methylglyoxal reductase (NADH-dependent) activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019171	e	3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019200	e	carbohydrate kinase activity	6/1159	12/4258	0.1	496	357	484	n.a.
GO:0019201	e	nucleotide kinase activity	3/1159	7/4258	0.399	1.97e+03	842	1.92e+03	n.a.
GO:0019202	e	amino acid kinase activity	3/1159	4/4258	0.0641	317	249	309	n.a.
GO:0019203	e	carbohydrate phosphatase activity	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0019205	e	nucleobase-containing compound kinase activity	5/1159	13/4258	0.359	1.77e+03	776	1.73e+03	n.a.
GO:0019206	e	nucleoside kinase activity	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0019207	p	kinase regulator activity	2/1159	36/4258	0.00204	10.1	9.13	9.83	n.a.
GO:0019208	p	phosphatase regulator activity	3/1159	27/4258	0.0799	395	290	385	n.a.
GO:0019210	p	kinase inhibitor activity	2/1159	10/4258	1	4.94e+03	780	4.82e+03	n.a.
GO:0019211	e	phosphatase activator activity	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0019212	p	phosphatase inhibitor activity	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0019213	e	deacetylase activity	5/1159	14/4258	0.547	2.71e+03	790	2.64e+03	n.a.
GO:0019216	e	regulation of lipid metabolic process	11/1159	39/4258	0.858	4.24e+03	752	4.13e+03	n.a.
GO:0019217	e	regulation of fatty acid metabolic process	3/1159	8/4258	0.456	2.25e+03	920	2.2e+03	n.a.
GO:0019218	p	regulation of steroid metabolic process	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0019219	e	regulation of nucleobase-containing compound metabolic process	224/1159	597/4258	3.08e-09	1.52e-05	1.49e-05	1.48e-05	n.a.
GO:0019220	p	regulation of phosphate metabolic process	21/1159	121/4258	0.0127	62.6	53.6	61.1	n.a.
GO:0019222	e	regulation of metabolic process	318/1159	997/4258	0.000182	0.9	0.844	0.877	n.a.
GO:0019237	e	centromeric DNA binding	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0019238	e	cyclohydrolase activity	5/1159	7/4258	0.0187	92.5	78.2	90.2	n.a.
GO:0019239	e	deaminase activity	4/1159	11/4258	0.504	2.49e+03	766	2.43e+03	n.a.
GO:0019255	e	glucose 1-phosphate metabolic process	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0019266	e	asparagine biosynthetic process from oxaloacetate	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019287	p	isopentenyl diphosphate biosynthetic process, mevalonate pathway	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019307	e	mannose biosynthetic process	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019318	e	hexose metabolic process	20/1159	43/4258	0.00865	42.8	37	41.7	n.a.
GO:0019319	e	hexose biosynthetic process	14/1159	16/4258	7.78e-07	0.00384	0.00373	0.00375	n.a.
GO:0019320	e	hexose catabolic process	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0019321	p	pentose metabolic process	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0019323	p	pentose catabolic process	1/1159	6/4258	1	4.94e+03	726	4.82e+03	n.a.
GO:0019343	e	cysteine biosynthetic process via cystathionine	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0019344	e	cysteine biosynthetic process	5/1159	10/4258	0.148	732	506	713	n.a.
GO:0019346	e	transsulfuration	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0019357	p	nicotinate nucleotide biosynthetic process	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019358	p	nicotinate nucleotide salvage	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019359	p	nicotinamide nucleotide biosynthetic process	2/1159	16/4258	0.263	1.3e+03	804	1.27e+03	n.a.
GO:0019362	e	pyridine nucleotide metabolic process	40/1159	73/4258	7.49e-07	0.0037	0.00359	0.00361	n.a.
GO:0019363	p	pyridine nucleotide biosynthetic process	3/1159	17/4258	0.585	2.89e+03	811	2.82e+03	n.a.
GO:0019364	p	pyridine nucleotide catabolic process	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019365	p	pyridine nucleotide salvage	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019379	e	sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0019388	e	galactose catabolic process	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0019395	p	fatty acid oxidation	2/1159	13/4258	0.534	2.64e+03	780	2.57e+03	n.a.
GO:0019400	e	alditol metabolic process	4/1159	12/4258	0.745	3.68e+03	751	3.59e+03	n.a.
GO:0019401	e	alditol biosynthetic process	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0019405	e	alditol catabolic process	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0019413	e	acetate biosynthetic process	4/1159	4/4258	0.00547	27	24	26.3	n.a.
GO:0019419	e	sulfate reduction	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0019427	e	acetyl-CoA biosynthetic process from acetate	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0019430	e	removal of superoxide radicals	3/1159	6/4258	0.354	1.75e+03	788	1.71e+03	n.a.
GO:0019438	e	aromatic compound biosynthetic process	254/1159	633/4258	3.55e-10	1.75e-06	1.74e-06	1.71e-06	n.a.
GO:0019439	e	aromatic compound catabolic process	41/1159	137/4258	0.495	2.44e+03	753	2.38e+03	n.a.
GO:0019464	e	glycine decarboxylation via glycine cleavage system	2/1159	2/4258	0.074	366	281	357	n.a.
GO:0019474	e	L-lysine catabolic process to acetyl-CoA	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019477	e	L-lysine catabolic process	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019509	e	L-methionine biosynthetic process from methylthioadenosine	3/1159	9/4258	0.711	3.51e+03	771	3.43e+03	n.a.
GO:0019510	e	S-adenosylhomocysteine catabolic process	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019520	e	aldonic acid metabolic process	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0019521	e	D-gluconate metabolic process	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0019538	e	protein metabolic process	289/1159	1044/4258	0.719	3.55e+03	762	3.46e+03	n.a.
GO:0019541	e	propionate metabolic process	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0019543	e	propionate catabolic process	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0019551	e	glutamate catabolic process to 2-oxoglutarate	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019563	e	glycerol catabolic process	2/1159	4/4258	0.3	1.48e+03	725	1.44e+03	n.a.
GO:0019566	p	arabinose metabolic process	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019568	p	arabinose catabolic process	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019588	e	anaerobic glycerol catabolic process	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019626	e	short-chain fatty acid catabolic process	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0019629	e	propionate catabolic process, 2-methylcitrate cycle	1/1159	2/4258	0.47	2.32e+03	913	2.27e+03	n.a.
GO:0019637	e	organophosphate metabolic process	115/1159	309/4258	6.53e-05	0.323	0.306	0.315	n.a.
GO:0019654	e	acetate fermentation	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019655	p	glycolytic fermentation to ethanol	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019660	p	glycolytic fermentation	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019662	e	non-glycolytic fermentation	1/1159	1/4258	0.272	1.35e+03	824	1.31e+03	n.a.
GO:0019673	e	GDP-mannose metabolic process	3/1159	3/4258	0.0201	99.5	83.6	97	n.a.
GO:0019674	e	NAD metabolic process	9/1159	30/4258	0.686	3.39e+03	776	3.3e+03	n.a.
GO:0019676	e	ammonia assimilation cycle	1/1159	3/4258	1	4.94e+03	278	4.82e+03	n.a.
GO:0019677	p	NAD catabolic process	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019682	e	glyceraldehyde-3-phosphate metabolic process	6/1159	10/4258	0.0297	147	120	143	n.a.
GO:0019692	p	deoxyribose phosphate metabolic process	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019693	e	ribose phosphate metabolic process	64/1159	110/4258	1.22e-10	6.01e-07	6e-07	5.86e-07	n.a.
GO:0019706	p	protein-cysteine S-palmitoyltransferase activity	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019707	p	protein-cysteine S-acyltransferase activity	1/1159	4/4258	1	4.94e+03	562	4.82e+03	n.a.
GO:0019725	p	cellular homeostasis	36/1159	138/4258	0.846	4.18e+03	749	4.08e+03	n.a.
GO:0019751	e	polyol metabolic process	6/1159	22/4258	1	4.94e+03	300	4.82e+03	n.a.
GO:0019752	e	carboxylic acid metabolic process	165/1159	342/4258	1.52e-10	7.49e-07	7.47e-07	7.3e-07	n.a.
GO:0019773	e	proteasome core complex, alpha-subunit complex	2/1159	7/4258	1	4.94e+03	630	4.82e+03	n.a.
GO:0019774	e	proteasome core complex, beta-subunit complex	3/1159	7/4258	0.399	1.97e+03	842	1.92e+03	n.a.
GO:0019783	p	ubiquitin-like protein-specific protease activity	5/1159	21/4258	1	4.94e+03	852	4.82e+03	n.a.
GO:0019787	p	ubiquitin-like protein transferase activity	13/1159	74/4258	0.0649	321	250	313	n.a.
GO:0019829	e	cation-transporting ATPase activity	19/1159	35/4258	0.000814	4.02	3.7	3.92	n.a.
GO:0019842	e	vitamin binding	4/1159	11/4258	0.504	2.49e+03	766	2.43e+03	n.a.
GO:0019843	e	rRNA binding	32/1159	54/4258	6.88e-07	0.0034	0.0033	0.00332	n.a.
GO:0019856	e	pyrimidine nucleobase biosynthetic process	6/1159	8/4258	0.00666	32.9	28.9	32.1	n.a.
